team #,match #,alliance color,starting level,preload,no show,moved forward,auto piece placed,double auto,ship cargo,level 1 cargo,level 2 cargo,level 3 cargo,ship hatches,level 1 hatches,level 2 hatches,level 3 hatches,hatches dropped,cargo dropped,hab attempt level,hab success,hab level reached,climb time,dead,defense
540,1,1,2,2,0,1,1,0,3,2,1,0,0,0,0,0,0,2,2,1,1,0,0,0
2068,1,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1
3274,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1262,1,1,1,1,0,1,1,0,0,0,0,0,1,2,1,1,1,3,1,2,1,0,0,0
5279,1,0,2,1,0,1,0,0,1,0,0,0,0,1,1,0,1,2,1,2,1,0,0,0
3748,2,0,2,1,0,1,0,0,4,0,0,0,1,0,0,0,2,0,2,1,1,0,0,0
3258,2,0,2,2,0,1,1,0,3,0,0,0,0,0,0,0,1,2,2,1,1,0,0,0
3136,2,1,1,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
5804,2,1,2,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
384,2,1,2,2,0,1,1,0,3,0,0,0,0,0,0,0,0,4,3,1,1,0,0,0
3072,3,1,2,2,0,1,1,0,3,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0
3939,3,0,1,1,0,1,0,0,0,0,0,0,2,0,1,0,0,2,1,2,1,0,0,0
7886,3,0,2,2,0,1,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
6802,3,1,2,1,0,1,0,0,0,0,0,0,0,2,0,0,1,2,2,2,2,7,0,0
5950,3,1,1,2,0,1,0,0,3,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0
1915,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505,4,1,2,1,0,1,0,0,2,1,0,0,0,0,0,0,1,0,1,2,1,0,0,0
449,4,1,1,1,0,1,0,0,0,1,0,0,1,2,0,0,1,0,2,1,1,0,0,0
1522,4,1,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,2,2,13,0,0
6194,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,1,0,1,1,0,1,1,0,2,1,0,0,2,2,0,0,1,0,3,2,3,2,0,0
2890,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1086,3,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,4,3,0,0,0,0,0,0
1413,4,0,1,1,0,1,0,0,1,1,0,0,2,2,0,0,0,1,1,2,1,0,0,0
539,5,1,1,1,0,1,1,0,2,0,0,0,1,0,0,0,0,2,1,2,1,0,0,0
4466,5,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0
6312,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5954,5,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,1
401,5,0,1,1,0,1,0,0,2,1,0,0,1,0,0,0,1,1,3,2,3,5,0,0
977,5,0,2,1,0,1,0,0,0,0,0,0,0,2,1,0,1,0,2,2,2,13,0,0
3258,6,1,2,2,0,1,0,0,3,0,0,0,0,2,0,0,0,1,1,2,1,0,0,0
1598,6,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
5724,6,1,1,1,0,1,0,0,3,0,0,0,0,1,0,0,1,0,2,2,2,11,0,0
3072,6,0,1,2,0,1,1,0,2,0,0,0,0,0,0,0,0,3,3,2,3,12,0,0
