team #,match #,alliance color,starting level,preload,no show,moved forward,auto piece placed,double auto,ship cargo,level 1 cargo,level 2 cargo,level 3 cargo,ship hatches,level 1 hatches,level 2 hatches,level 3 hatches,hatches dropped,cargo dropped,hab attempt level,hab success,hab level reached,climb time,dead,defense
1719,1,0,1,1,0,1,0,0,2,1,0,0,1,0,0,0,0,0,2,2,2,14,0,0
4456,1,1,1,2,0,1,0,0,2,0,0,0,0,0,0,0,1,1,3,2,3,11,0,0
1413,1,1,2,2,0,1,0,0,2,2,0,0,0,2,0,0,2,1,2,2,2,4,0,0
5546,1,0,2,1,0,1,0,0,0,1,2,2,0,1,0,0,0,0,1,2,1,0,0,0
6334,1,0,2,1,0,1,1,0,0,0,0,0,1,2,2,2,0,0,3,2,3,16,0,0
1610,1,1,2,1,0,1,0,0,0,2,0,0,0,2,2,0,0,0,2,2,2,5,0,0
1086,2,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
2068,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,13,0,3
977,2,1,2,1,0,1,1,0,0,0,0,0,1,3,2,2,0,0,2,1,1,0,0,0
422,2,0,2,1,0,1,1,0,3,0,0,0,0,2,0,0,1,0,2,1,1,0,0,0
1599,2,1,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,2,3,14,0,0
539,2,0,1,1,0,1,1,0,2,0,0,0,2,0,0,0,0,1,1,2,1,0,0,0
5338,3,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,2,2,2,19,0,0
2914,3,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
836,3,0,2,1,0,1,1,0,2,2,0,0,1,2,0,0,1,1,3,2,3,14,0,0
4472,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,2,2,7,0,0
3748,3,1,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,2,1,0,0,2
2106,3,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,4,3,2,3,10,0,0
346,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2
619,4,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,4,2,2,2,2,4,0,3
3939,4,0,1,1,0,1,1,0,1,0,0,0,2,0,1,1,0,0,2,2,2,5,0,0
686,4,1,2,1,0,1,0,0,2,0,0,0,1,0,0,0,1,0,3,2,3,10,0,0
4242,4,1,2,1,0,1,0,0,5,0,0,0,2,0,0,0,1,0,2,2,2,5,0,0
1418,4,0,1,1,0,1,1,0,0,2,2,0,0,2,1,1,0,2,1,2,1,0,0,0
339,5,0,2,2,0,1,0,0,2,0,0,0,1,0,0,0,1,0,2,2,2,9,0,0
3359,5,0,2,2,0,1,0,0,4,0,0,0,0,0,0,0,0,1,2,2,2,4,0,0
