team #,match #,alliance color,starting level,preload,no show,moved forward,auto piece placed,double auto,ship cargo,level 1 cargo,level 2 cargo,level 3 cargo,ship hatches,level 1 hatches,level 2 hatches,level 3 hatches,hatches dropped,cargo dropped,hab attempt level,hab success,hab level reached,climb time,dead,defense
2900,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686,1,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0,1,3,3,2,3,5,0,0
2186,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0
5841,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
1727,1,1,2,2,0,1,0,0,5,0,0,0,0,0,0,0,0,1,2,2,2,8,0,0
1885,1,0,1,1,0,1,1,0,1,2,0,0,0,2,2,0,0,2,0,0,0,0,0,0
4456,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,10,4,1
2912,2,1,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,2,2,2,3,0,0
5243,2,1,2,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
1123,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,37,0,0
2537,2,0,2,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
7770,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
6239,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
4821,3,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,2,1,1,2,1,0,4,0
1111,3,1,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0
4472,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0
5115,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0
5945,3,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,0,0
1915,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
4949,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
