team #,match #,alliance color,starting level,preload,no show,moved forward,auto piece placed,double auto,ship cargo,level 1 cargo,level 2 cargo,level 3 cargo,ship hatches,level 1 hatches,level 2 hatches,level 3 hatches,hatches dropped,cargo dropped,hab attempt level,hab success,hab level reached,climb time,dead,defense,defended
3381,1,0,1,2,0,1,0,0,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7651,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0
4381,1,0,1,1,0,1,1,0,0,0,0,0,0,2,2,1,1,0,3,2,3,20,0,0,0
51,1,1,2,1,0,1,0,0,4,0,0,0,2,2,0,0,1,0,2,2,2,7,0,0,1
868,1,1,1,1,0,1,1,0,0,2,2,0,0,2,2,2,0,0,3,2,3,6,0,0,1
3044,1,1,2,2,0,1,0,0,3,2,1,0,0,0,0,0,0,2,1,2,1,0,0,0,1
1792,2,0,1,1,0,1,1,0,0,0,0,0,1,2,1,0,0,0,3,2,3,8,0,0,0
3604,2,0,1,2,0,1,1,0,6,0,1,0,0,0,0,0,0,0,2,2,2,5,0,0,1
5951,2,0,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,2,2,7,0,2,0
6401,2,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,8,0,2,0
245,2,1,2,1,0,1,0,0,3,2,1,0,1,2,1,0,0,1,3,2,3,16,0,0,0
125,3,0,1,1,0,1,1,0,2,0,2,0,0,0,2,2,1,2,3,2,3,4,0,0,1
3555,3,0,2,1,0,1,1,0,4,2,0,0,1,2,0,0,0,0,2,1,1,0,0,0,0
2500,3,0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,2,2,1
5501,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,6,0,2,0
503,3,1,1,1,0,1,0,0,0,0,0,0,3,2,1,0,1,0,3,2,3,5,0,0,1
3618,3,1,2,2,0,1,1,0,6,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0
1923,4,0,1,1,0,1,1,0,4,2,0,0,0,2,1,0,2,0,1,1,0,0,0,0,1
3624,4,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,2,0
2337,4,0,2,1,0,1,1,0,2,2,0,0,0,2,0,0,0,0,3,2,3,6,0,0,2
250,4,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,1,1
6806,4,1,2,2,0,1,1,0,3,0,0,0,0,0,0,0,0,0,2,2,2,5,0,1,0
1317,4,1,1,1,0,1,1,0,1,0,0,0,2,1,1,0,2,0,2,2,2,6,0,0,1
103,5,0,1,1,0,1,1,0,3,2,2,1,1,0,0,0,0,0,3,2,3,7,0,0,0
225,5,0,2,1,0,1,0,0,1,2,1,0,0,2,2,2,0,2,1,2,1,0,0,0,1
1918,5,0,1,1,0,1,1,0,2,0,1,3,1,1,2,2,0,0,0,0,0,0,0,0,0
3926,5,1,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,2,0
836,5,1,2,1,0,1,1,0,2,2,0,0,2,0,0,0,0,0,3,2,3,15,0,0,0
236,5,1,1,1,0,1,1,0,0,2,0,0,1,2,2,1,0,0,2,2,2,5,0,0,0
